2019-11-14 16:37:09,723: 'i'
2019-11-14 16:37:10,238: Key.space
2019-11-14 16:37:10,676: 'l'
2019-11-14 16:37:10,848: 'o'
2019-11-14 16:37:12,082: 'v'
2019-11-14 16:37:12,332: 'e'
2019-11-14 16:37:12,910: Key.space
2019-11-14 16:37:13,396: 'n'
2019-11-14 16:37:13,583: 'e'
2019-11-14 16:37:13,787: 't'
2019-11-14 16:37:14,489: 'a'
2019-11-14 16:37:15,692: Key.space
2019-11-14 16:37:17,614: Key.enter
2019-11-14 16:37:18,020: 't'
2019-11-14 16:37:18,145: 'h'
2019-11-14 16:37:18,317: 'n'
2019-11-14 16:37:18,973: 'a'
2019-11-14 16:37:19,363: 'k'
2019-11-14 16:37:20,910: Key.enter
2019-11-14 16:37:21,254: 'u'
2019-11-14 16:37:21,597: Key.enter
2019-11-14 16:37:23,473: 'b'
2019-11-14 16:37:23,629: 'a'
2019-11-14 16:37:23,754: 'y'
2019-11-14 16:37:24,379: Key.enter
